epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45725,2.31749,3.6878,1.83252,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0,0,0
2,4.47357,2.27775,3.73391,1.99827,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0.000653467,0.000653467,0.000653467
3,6.48544,2.28142,3.73298,1.93415,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0.00128053,0.00128053,0.00128053
4,8.50266,2.29379,3.82313,1.99654,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0.0018812,0.0018812,0.0018812
5,10.4581,2.38552,3.67226,1.91327,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0.0018416,0.0018416,0.0018416
6,12.403,2.68659,3.72257,2.10123,0.00708,0.38636,0.003,0.00058,2.15921,3.53905,1.64222,0.001802,0.001802,0.001802
7,14.3988,2.29306,3.76697,2.04709,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.0017624,0.0017624,0.0017624
8,16.3821,2.69493,3.18151,1.64384,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.0017228,0.0017228,0.0017228
9,18.3732,2.57005,3.05803,1.55389,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.0016832,0.0016832,0.0016832
10,20.274,2.67493,3.04955,1.58181,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.0016436,0.0016436,0.0016436
11,22.1449,2.84095,3.18862,1.88436,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.001604,0.001604,0.001604
12,24.0511,2.65894,3.09042,1.60137,0.00875,0.47727,0.00507,0.00095,3.04882,3.53814,1.86137,0.0015644,0.0015644,0.0015644
13,26.0875,2.53319,3.19323,1.47235,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.0015248,0.0015248,0.0015248
14,28.0471,1.8704,1.75265,1.33009,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.0014852,0.0014852,0.0014852
15,29.9915,1.81421,1.72446,1.31745,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.0014456,0.0014456,0.0014456
16,31.964,1.92039,1.70086,1.36703,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.001406,0.001406,0.001406
17,33.9182,1.86356,1.7098,1.33092,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.0013664,0.0013664,0.0013664
18,35.8323,1.85353,1.98241,1.30788,0.0175,0.95455,0.03558,0.01532,1.82657,3.14099,1.25388,0.0013268,0.0013268,0.0013268
19,37.7618,1.9072,2.02823,1.363,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.0012872,0.0012872,0.0012872
20,39.6641,2.14488,1.93539,1.54152,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.0012476,0.0012476,0.0012476
21,41.5839,1.67949,1.47941,1.31917,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.001208,0.001208,0.001208
22,43.4516,2.14857,1.64466,1.45029,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.0011684,0.0011684,0.0011684
23,45.3585,1.60325,1.46784,1.24035,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.0011288,0.0011288,0.0011288
24,47.3021,1.55555,1.44509,1.19056,0.01708,0.93182,0.03277,0.01302,1.90578,3.01182,1.37911,0.0010892,0.0010892,0.0010892
25,49.2967,1.94457,1.91967,1.40935,0.01583,0.86364,0.12618,0.06433,1.59683,2.96721,1.24177,0.0010496,0.0010496,0.0010496
26,51.263,1.70019,1.39078,1.26116,0.01583,0.86364,0.12618,0.06433,1.59683,2.96721,1.24177,0.00101,0.00101,0.00101
